"q","n_individuals","method","value","lo","hi","metric"
1,10785,"Rarefaction",42.323454790901,41.9268715957541,42.7200379860479,"taxonomic"
1,16177,"Rarefaction",42.4793941330326,42.0800133000901,42.8787749659752,"taxonomic"
1,21570,"Rarefaction",42.5616568580372,42.1608113473897,42.9625023686848,"taxonomic"
1,26962,"Rarefaction",42.6128201986748,42.211083280803,43.0145571165466,"taxonomic"
1,32354,"Rarefaction",42.6478689396878,42.2455355969787,43.050202282397,"taxonomic"
1,37746,"Rarefaction",42.673443992435,42.2706854064889,43.0762025783811,"taxonomic"
1,43139,"Rarefaction",42.6929609466205,42.2898853126,43.0960365806411,"taxonomic"
1,48531,"Rarefaction",42.7083532797107,42.3050335354304,43.1116730239911,"taxonomic"
1,53923,"Rarefaction",42.7208134466816,42.3173009505857,43.1243259427774,"taxonomic"
1,59316,"Rarefaction",42.7311132759131,42.3274454387477,43.1347811130785,"taxonomic"
1,64708,"Rarefaction",42.7397706935522,42.3359755298682,43.1435658572362,"taxonomic"
1,70100,"Rarefaction",42.7471539948726,42.3432528303407,43.1510551594045,"taxonomic"
1,75492,"Rarefaction",42.7535279288888,42.3495372683811,43.1575185893965,"taxonomic"
1,80885,"Rarefaction",42.7590896048736,42.3550223745608,43.1631568351864,"taxonomic"
1,86277,"Rarefaction",42.7639853487552,42.3598518231874,43.168118874323,"taxonomic"
1,91669,"Rarefaction",42.7683305105886,42.3641389108179,43.1725221103593,"taxonomic"
1,97062,"Rarefaction",42.7722151401618,42.3679721145188,43.1764581658047,"taxonomic"
1,97063,"Observed",42.7722158223105,42.3679727876701,43.1764588569508,"taxonomic"
1,97064,"Extrapolation",42.7722165044522,42.3679734608145,43.1764595480899,"taxonomic"
1,102172,"Extrapolation",42.7756121112935,42.371324164329,43.1799000582579,"taxonomic"
1,107281,"Extrapolation",42.7788368251746,42.3745060117112,43.183167638638,"taxonomic"
1,112389,"Extrapolation",42.7818980477541,42.3775263276073,43.1862697679009,"taxonomic"
1,117498,"Extrapolation",42.7848052061522,42.3803944334514,43.1892159788529,"taxonomic"
1,122606,"Extrapolation",42.787564973145,42.383116931676,43.1920130146139,"taxonomic"
1,127715,"Extrapolation",42.7901858475119,42.3857022246913,43.1946694703324,"taxonomic"
1,132823,"Extrapolation",42.7926738449236,42.3881562640746,43.1971914257725,"taxonomic"
1,137932,"Extrapolation",42.7950366272376,42.3904866239339,43.1995866305413,"taxonomic"
1,143040,"Extrapolation",42.7972796177281,42.3926986692449,43.2018605662113,"taxonomic"
1,148149,"Extrapolation",42.7994097237469,42.3947992275337,43.2040202199601,"taxonomic"
1,153257,"Extrapolation",42.8014318345082,42.3967931350467,43.2060705339697,"taxonomic"
1,158366,"Extrapolation",42.8033521771587,42.3986865463546,43.2080178079627,"taxonomic"
1,163474,"Extrapolation",42.8051751594443,42.4004838211111,43.2098664977775,"taxonomic"
1,168583,"Extrapolation",42.8069063952901,42.4021905072759,43.2116222833044,"taxonomic"
1,173691,"Extrapolation",42.8085498583869,42.4038105348878,43.2132891818861,"taxonomic"
1,178800,"Extrapolation",42.8101106098253,42.4053489050855,43.2148723145651,"taxonomic"
1,183908,"Extrapolation",42.8115922319846,42.406809160629,43.2163753033402,"taxonomic"
1,189017,"Extrapolation",42.8129992875618,42.4081958097245,43.2178027653991,"taxonomic"
1,194126,"Extrapolation",42.8143352609356,42.4095122970592,43.2191582248121,"taxonomic"
2,1,"Rarefaction",1,0.999999999999999,1,"taxonomic"
2,5393,"Rarefaction",22.8780101945233,22.6050382192445,23.1509821698021,"taxonomic"
2,10785,"Rarefaction",22.9245139267265,22.6504063845557,23.1986214688973,"taxonomic"
2,16177,"Rarefaction",22.9400591341919,22.6655714713834,23.2145467970004,"taxonomic"
2,21570,"Rarefaction",22.9478410900357,22.6731630394434,23.2225191406281,"taxonomic"
2,26962,"Rarefaction",22.9525118743134,22.677719519993,23.2273042286338,"taxonomic"
2,32354,"Rarefaction",22.9556268832789,22.6807582850699,23.2304954814879,"taxonomic"
2,37746,"Rarefaction",22.9578524542719,22.6829293758529,23.2327755326909,"taxonomic"
2,43139,"Rarefaction",22.9595222124631,22.6845582561485,23.2344861687777,"taxonomic"
2,48531,"Rarefaction",22.9608208292532,22.6858250789881,23.2358165795183,"taxonomic"
2,53923,"Rarefaction",22.9618598425925,22.6868386529011,23.2368810322839,"taxonomic"
2,59316,"Rarefaction",22.9627101676171,22.6876681575186,23.2377521777157,"taxonomic"
2,64708,"Rarefaction",22.9634186835206,22.6883593246343,23.2384780424069,"taxonomic"
2,70100,"Rarefaction",22.9640182377429,22.6889441976928,23.239092277793,"taxonomic"
2,75492,"Rarefaction",22.9645321709088,22.6894455459744,23.2396187958433,"taxonomic"
2,80885,"Rarefaction",22.9649776786751,22.6898801441787,23.2400752131716,"taxonomic"
2,86277,"Rarefaction",22.9653674377673,22.6902603586792,23.2404745168554,"taxonomic"
2,91669,"Rarefaction",22.9657113564995,22.6905958552644,23.2408268577347,"taxonomic"
2,97062,"Rarefaction",22.9660171261181,22.6908941368531,23.2411401153832,"taxonomic"
2,97063,"Observed",22.9660171796656,22.6908941890892,23.241140170242,"taxonomic"
2,97064,"Extrapolation",22.9660172332119,22.6908942413242,23.2411402250996,"taxonomic"
2,102172,"Extrapolation",22.9662770739275,22.6911477186856,23.2414064291694,"taxonomic"
2,107281,"Extrapolation",22.9665122195777,22.6913771056867,23.2416473334687,"taxonomic"
2,112389,"Extrapolation",22.9667259510667,22.691585602901,23.2418662992324,"taxonomic"
2,117498,"Extrapolation",22.9669211392836,22.6917760109237,23.2420662676435,"taxonomic"
2,122606,"Extrapolation",22.9671000299737,22.6919505205125,23.2422495394349,"taxonomic"
2,127715,"Extrapolation",22.9672646443708,22.6921111034094,23.2424181853322,"taxonomic"
2,132823,"Extrapolation",22.9674165686644,22.6922593069645,23.2425738303643,"taxonomic"
2,137932,"Extrapolation",22.9675572688426,22.6923965612687,23.2427179764164,"taxonomic"
2,143040,"Extrapolation",22.9676878951191,22.6925239883708,23.2428518018673,"taxonomic"
2,148149,"Extrapolation",22.9678095379842,22.6926426520581,23.2429764239104,"taxonomic"
2,153257,"Extrapolation",22.9679230503708,22.6927533843773,23.2430927163643,"taxonomic"
2,158366,"Extrapolation",22.9680292612981,22.6928569940468,23.2432015285493,"taxonomic"
2,163474,"Extrapolation",22.9681288155258,22.6929541100377,23.2433035210138,"taxonomic"
2,168583,"Extrapolation",22.9682223553485,22.6930453589158,23.2433993517811,"taxonomic"
2,173691,"Extrapolation",22.9683103763559,22.693131224135,23.2434895285769,"taxonomic"
2,178800,"Extrapolation",22.9683933845273,22.6932121992834,23.2435745697712,"taxonomic"
2,183908,"Extrapolation",22.9684717663897,22.6932886614227,23.2436548713567,"taxonomic"
2,189017,"Extrapolation",22.9685459264587,22.6933610051624,23.243730847755,"taxonomic"
2,194126,"Extrapolation",22.9686161834862,22.6934295414485,23.243802825524,"taxonomic"
0,1,"Rarefaction",0.9999999994394,NA,NA,"phylogenetic"
0,5065,"Rarefaction",21.6884010809637,NA,NA,"phylogenetic"
0,10129,"Rarefaction",23.9759358459607,NA,NA,"phylogenetic"
0,15193,"Rarefaction",25.2528540110073,NA,NA,"phylogenetic"
0,20257,"Rarefaction",26.1389328969689,NA,NA,"phylogenetic"
0,25322,"Rarefaction",26.8240020773014,NA,NA,"phylogenetic"
0,30386,"Rarefaction",27.38626810163,NA,NA,"phylogenetic"
0,35450,"Rarefaction",27.8640216844793,NA,NA,"phylogenetic"
0,40514,"Rarefaction",28.2784443790919,NA,NA,"phylogenetic"
0,45578,"Rarefaction",28.6426800295119,NA,NA,"phylogenetic"
0,50643,"Rarefaction",28.9656751673724,NA,NA,"phylogenetic"
0,55707,"Rarefaction",29.2537013511249,NA,NA,"phylogenetic"
0,60771,"Rarefaction",29.5116467652152,NA,NA,"phylogenetic"
0,65835,"Rarefaction",29.7432661453057,NA,NA,"phylogenetic"
0,70899,"Rarefaction",29.9515584153559,NA,NA,"phylogenetic"
0,75964,"Rarefaction",30.139002113417,NA,NA,"phylogenetic"
0,81028,"Rarefaction",30.3075473753586,NA,NA,"phylogenetic"
0,86092,"Rarefaction",30.4589324820463,NA,NA,"phylogenetic"
0,91156,"Rarefaction",30.5945998250318,NA,NA,"phylogenetic"
0,96221,"Observed",30.7158057737403,NA,NA,"phylogenetic"
0,96222,"Extrapolation",30.7158283455806,NA,NA,"phylogenetic"
0,101286,"Extrapolation",30.8236799422077,NA,NA,"phylogenetic"
0,106350,"Extrapolation",30.9195913558269,NA,NA,"phylogenetic"
0,111414,"Extrapolation",31.0048844766531,NA,NA,"phylogenetic"
0,116478,"Extrapolation",31.0807348492602,NA,NA,"phylogenetic"
0,121543,"Extrapolation",31.1482004282228,NA,NA,"phylogenetic"
0,126607,"Extrapolation",31.2081843812012,NA,NA,"phylogenetic"
0,131671,"Extrapolation",31.2615275481505,NA,NA,"phylogenetic"
0,136735,"Extrapolation",31.3089651263508,NA,NA,"phylogenetic"
0,141799,"Extrapolation",31.3511509198499,NA,NA,"phylogenetic"
0,146864,"Extrapolation",31.3886733325235,NA,NA,"phylogenetic"
0,151928,"Extrapolation",31.4220346802221,NA,NA,"phylogenetic"
0,156992,"Extrapolation",31.4517026139205,NA,NA,"phylogenetic"
0,162056,"Extrapolation",31.4780860291797,NA,NA,"phylogenetic"
0,167120,"Extrapolation",31.5015485529878,NA,NA,"phylogenetic"
0,172185,"Extrapolation",31.5224174386403,NA,NA,"phylogenetic"
0,177249,"Extrapolation",31.5409720597514,NA,NA,"phylogenetic"
0,182313,"Extrapolation",31.5574725103297,NA,NA,"phylogenetic"
0,187377,"Extrapolation",31.5721462063139,NA,NA,"phylogenetic"
0,192442,"Extrapolation",31.5851978151731,NA,NA,"phylogenetic"
1,1,"Rarefaction",0.9999999994394,NA,NA,"phylogenetic"
1,5065,"Rarefaction",2.52654416712459,NA,NA,"phylogenetic"
1,10129,"Rarefaction",2.52978167918852,NA,NA,"phylogenetic"
1,15193,"Rarefaction",2.53093248331091,NA,NA,"phylogenetic"
1,20257,"Rarefaction",2.53152905353726,NA,NA,"phylogenetic"
1,25322,"Rarefaction",2.53189657293431,NA,NA,"phylogenetic"
1,30386,"Rarefaction",2.53214674324449,NA,NA,"phylogenetic"
1,35450,"Rarefaction",2.53232858866265,NA,NA,"phylogenetic"
1,40514,"Rarefaction",2.53246698767243,NA,NA,"phylogenetic"
1,45578,"Rarefaction",2.53257596700301,NA,NA,"phylogenetic"
1,50643,"Rarefaction",2.53266407388722,NA,NA,"phylogenetic"
1,55707,"Rarefaction",2.53273677312497,NA,NA,"phylogenetic"
1,60771,"Rarefaction",2.53279779375147,NA,NA,"phylogenetic"
1,65835,"Rarefaction",2.53284973293632,NA,NA,"phylogenetic"
1,70899,"Rarefaction",2.5328944652561,NA,NA,"phylogenetic"
1,75964,"Rarefaction",2.53293338656149,NA,NA,"phylogenetic"
1,81028,"Rarefaction",2.53296753221493,NA,NA,"phylogenetic"
1,86092,"Rarefaction",2.53299772115029,NA,NA,"phylogenetic"
1,91156,"Rarefaction",2.53302458882226,NA,NA,"phylogenetic"
1,96221,"Observed",2.53304864527673,NA,NA,"phylogenetic"
1,96222,"Extrapolation",2.5330486497764,NA,NA,"phylogenetic"
1,101286,"Extrapolation",2.53307084053037,NA,NA,"phylogenetic"
1,106350,"Extrapolation",2.53309188172751,NA,NA,"phylogenetic"
1,111414,"Extrapolation",2.53311183291879,NA,NA,"phylogenetic"
1,116478,"Extrapolation",2.53313075057023,NA,NA,"phylogenetic"
1,121543,"Extrapolation",2.53314869167153,NA,NA,"phylogenetic"
1,126607,"Extrapolation",2.53316569991371,NA,NA,"phylogenetic"
1,131671,"Extrapolation",2.53318182707087,NA,NA,"phylogenetic"
1,136735,"Extrapolation",2.53319711878622,NA,NA,"phylogenetic"
1,141799,"Extrapolation",2.5332116183385,NA,NA,"phylogenetic"
1,146864,"Extrapolation",2.53322536940781,NA,NA,"phylogenetic"
1,151928,"Extrapolation",2.53323840548142,NA,NA,"phylogenetic"
1,156992,"Extrapolation",2.5332507662419,NA,NA,"phylogenetic"
1,162056,"Extrapolation",2.53326248667277,NA,NA,"phylogenetic"
1,167120,"Extrapolation",2.53327359994531,NA,NA,"phylogenetic"
1,172185,"Extrapolation",2.53328413953839,NA,NA,"phylogenetic"
1,177249,"Extrapolation",2.53329413111855,NA,NA,"phylogenetic"
1,182313,"Extrapolation",2.53330360510074,NA,NA,"phylogenetic"
1,187377,"Extrapolation",2.53331258829829,NA,NA,"phylogenetic"
1,192442,"Extrapolation",2.53332110777323,NA,NA,"phylogenetic"
2,1,"Rarefaction",0.9999999994394,NA,NA,"phylogenetic"
2,5065,"Rarefaction",1.45966526938325,NA,NA,"phylogenetic"
2,10129,"Rarefaction",1.45973151362193,NA,NA,"phylogenetic"
2,15193,"Rarefaction",1.45975359927819,NA,NA,"phylogenetic"
2,20257,"Rarefaction",1.45976464289725,NA,NA,"phylogenetic"
2,25322,"Rarefaction",1.45977127037812,NA,NA,"phylogenetic"
2,30386,"Rarefaction",1.45977568777335,NA,NA,"phylogenetic"
2,35450,"Rarefaction",1.45977884315276,NA,NA,"phylogenetic"
2,40514,"Rarefaction",1.45978120973739,NA,NA,"phylogenetic"
2,45578,"Rarefaction",1.45978305044168,NA,NA,"phylogenetic"
2,50643,"Rarefaction",1.45978452328314,NA,NA,"phylogenetic"
2,55707,"Rarefaction",1.45978572808559,NA,NA,"phylogenetic"
2,60771,"Rarefaction",1.45978673209684,NA,NA,"phylogenetic"
2,65835,"Rarefaction",1.459787581654,NA,NA,"phylogenetic"
2,70899,"Rarefaction",1.45978830986392,NA,NA,"phylogenetic"
2,75964,"Rarefaction",1.45978894108577,NA,NA,"phylogenetic"
2,81028,"Rarefaction",1.45978949330153,NA,NA,"phylogenetic"
2,86092,"Rarefaction",1.4597899805495,NA,NA,"phylogenetic"
2,91156,"Rarefaction",1.45979041366069,NA,NA,"phylogenetic"
2,96221,"Observed",1.45979080125713,NA,NA,"phylogenetic"
2,96222,"Extrapolation",1.45979080132963,NA,NA,"phylogenetic"
2,101286,"Extrapolation",1.45979115008862,NA,NA,"phylogenetic"
2,106350,"Extrapolation",1.45979146563449,NA,NA,"phylogenetic"
2,111414,"Extrapolation",1.45979175249603,NA,NA,"phylogenetic"
2,116478,"Extrapolation",1.45979201441448,NA,NA,"phylogenetic"
2,121543,"Extrapolation",1.45979225455298,NA,NA,"phylogenetic"
2,126607,"Extrapolation",1.45979247543603,NA,NA,"phylogenetic"
2,131671,"Extrapolation",1.45979267932903,NA,NA,"phylogenetic"
2,136735,"Extrapolation",1.45979286811967,NA,NA,"phylogenetic"
2,141799,"Extrapolation",1.45979304342597,NA,NA,"phylogenetic"
2,146864,"Extrapolation",1.45979320667391,NA,NA,"phylogenetic"
2,151928,"Extrapolation",1.45979335900811,NA,NA,"phylogenetic"
2,156992,"Extrapolation",1.45979350151483,NA,NA,"phylogenetic"
2,162056,"Extrapolation",1.45979363511534,NA,NA,"phylogenetic"
2,167120,"Extrapolation",1.45979376061926,NA,NA,"phylogenetic"
2,172185,"Extrapolation",1.4597938787636,NA,NA,"phylogenetic"
2,177249,"Extrapolation",1.45979399013454,NA,NA,"phylogenetic"
2,182313,"Extrapolation",1.45979409531852,NA,NA,"phylogenetic"
2,187377,"Extrapolation",1.45979419481717,NA,NA,"phylogenetic"
2,192442,"Extrapolation",1.45979428909743,NA,NA,"phylogenetic"
