"dataset","source","metric","q","n","method","value","lo","hi"
"unificado analisis","parcelas_cl","taxonomica",2,61,"Rarefaction",32.3590494067222,27.6179776596186,37.8940806956997
"unificado analisis","parcelas_cl","taxonomica",2,73,"Rarefaction",32.6677049788402,28.1907752148313,37.9085939175567
"unificado analisis","parcelas_cl","taxonomica",2,85,"Rarefaction",32.8928648421489,29.2065257224215,37.0140139624486
"unificado analisis","parcelas_cl","taxonomica",2,97,"Rarefaction",33.0643725977449,28.9984339266111,36.9827139877601
"unificado analisis","parcelas_cl","taxonomica",2,109,"Rarefaction",33.1993634214434,30.1853005725944,36.8034717574385
"unificado analisis","parcelas_cl","taxonomica",2,121,"Rarefaction",33.3083778059421,29.8281071816769,36.6470970344991
"unificado analisis","parcelas_cl","taxonomica",2,133,"Rarefaction",33.398255659566,31.0770855594477,36.3392656210536
"unificado analisis","parcelas_cl","taxonomica",2,145,"Rarefaction",33.4736292807286,31.0249772683684,36.1623420879378
"unificado analisis","parcelas_cl","taxonomica",2,157,"Rarefaction",33.5377475033295,31.2363260790744,36.1171875079394
"unificado analisis","parcelas_cl","taxonomica",2,169,"Rarefaction",33.5929562890661,31.810392311907,35.1510894631142
"unificado analisis","parcelas_cl","taxonomica",2,181,"Rarefaction",33.6409919948177,31.9075272523975,35.4489004027557
"unificado analisis","parcelas_cl","taxonomica",2,193,"Rarefaction",33.6831673034169,32.5297699990813,35.07163313347
"unificado analisis","parcelas_cl","taxonomica",2,205,"Rarefaction",33.7204930157669,32.4643628073765,34.8394624072583
"unificado analisis","parcelas_cl","taxonomica",2,217,"Rarefaction",33.7537601137355,32.9113149245036,34.5266315049439
"unificado analisis","parcelas_cl","taxonomica",2,230,"Observed",33.7859444974228,33.7859444974228,33.7859444974228
"unificado analisis","parcelas_cl","taxonomica",2,231,"Extrapolation",33.7882725534502,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,243,"Extrapolation",33.8147372055206,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,255,"Extrapolation",33.8387468799587,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,267,"Extrapolation",33.8606280366364,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,279,"Extrapolation",33.880651709288,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,291,"Extrapolation",33.899044789336,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,303,"Extrapolation",33.9159986609305,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,315,"Extrapolation",33.931675885301,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,327,"Extrapolation",33.9462154298803,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,339,"Extrapolation",33.9597367988711,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,351,"Extrapolation",33.9723433254042,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,363,"Extrapolation",33.9841248173286,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,375,"Extrapolation",33.9951597000012,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,387,"Extrapolation",34.0055167642124,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,399,"Extrapolation",34.0152566016106,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,411,"Extrapolation",34.0244327909208,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,423,"Extrapolation",34.0330928840138,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,435,"Extrapolation",34.0412792301481,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,447,"Extrapolation",34.0490296685432,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,460,"Extrapolation",34.0569733162838,NA,NA
"unificado analisis","living_trees","taxonomica",0,1,"Rarefaction",6.41628264208909,5,9
"unificado analisis","living_trees","taxonomica",0,35,"Rarefaction",44.5245693409661,36.975,51
"unificado analisis","living_trees","taxonomica",0,69,"Rarefaction",51.5446035324734,46,56
"unificado analisis","living_trees","taxonomica",0,103,"Rarefaction",55.5108824716461,50,60.025
"unificado analisis","living_trees","taxonomica",0,137,"Rarefaction",58.1513676852555,53,62
"unificado analisis","living_trees","taxonomica",0,172,"Rarefaction",60.0955378411988,55.975,64
"unificado analisis","living_trees","taxonomica",0,206,"Rarefaction",61.5281407331609,57,65
"unificado analisis","living_trees","taxonomica",0,240,"Rarefaction",62.6755289084808,59,66
"unificado analisis","living_trees","taxonomica",0,274,"Rarefaction",63.6344920004611,60,68
"unificado analisis","living_trees","taxonomica",0,308,"Rarefaction",64.4647498279529,61,67.025
"unificado analisis","living_trees","taxonomica",0,343,"Rarefaction",65.2244919465802,62,68
"unificado analisis","living_trees","taxonomica",0,377,"Rarefaction",65.8947086576636,63,69
"unificado analisis","living_trees","taxonomica",0,411,"Rarefaction",66.5136118273715,63,69
"unificado analisis","living_trees","taxonomica",0,445,"Rarefaction",67.0913324354316,64,69
"unificado analisis","living_trees","taxonomica",0,479,"Rarefaction",67.6347834779922,65,70
"unificado analisis","living_trees","taxonomica",0,514,"Rarefaction",68.1636025922629,66,70
"unificado analisis","living_trees","taxonomica",0,548,"Rarefaction",68.6513346952942,66,70
"unificado analisis","living_trees","taxonomica",0,582,"Rarefaction",69.1163896927781,67,70
"unificado analisis","living_trees","taxonomica",0,616,"Rarefaction",69.5611623401556,67.975,70
"unificado analisis","living_trees","taxonomica",0,651,"Observed",70,70,70
"unificado analisis","living_trees","taxonomica",0,652,"Extrapolation",70.0122746234553,NA,NA
"unificado analisis","living_trees","taxonomica",0,686,"Extrapolation",70.4213002668728,NA,NA
"unificado analisis","living_trees","taxonomica",0,720,"Extrapolation",70.8145990944443,NA,NA
"unificado analisis","living_trees","taxonomica",0,754,"Extrapolation",71.1927757937746,NA,NA
"unificado analisis","living_trees","taxonomica",0,788,"Extrapolation",71.5564118025556,NA,NA
"unificado analisis","living_trees","taxonomica",0,823,"Extrapolation",71.9161440535488,NA,NA
"unificado analisis","living_trees","taxonomica",0,857,"Extrapolation",72.2519669420683,NA,NA
"unificado analisis","living_trees","taxonomica",0,891,"Extrapolation",72.5748776212688,NA,NA
"unificado analisis","living_trees","taxonomica",0,925,"Extrapolation",72.8853725586491,NA,NA
"unificado analisis","living_trees","taxonomica",0,959,"Extrapolation",73.1839291327998,NA,NA
"unificado analisis","living_trees","taxonomica",0,994,"Extrapolation",73.4792805993064,NA,NA
"unificado analisis","living_trees","taxonomica",0,1028,"Extrapolation",73.7550017289435,NA,NA
"unificado analisis","living_trees","taxonomica",0,1062,"Extrapolation",74.0201215295429,NA,NA
"unificado analisis","living_trees","taxonomica",0,1096,"Extrapolation",74.2750476165004,NA,NA
"unificado analisis","living_trees","taxonomica",0,1130,"Extrapolation",74.5201719326192,NA,NA
"unificado analisis","living_trees","taxonomica",0,1165,"Extrapolation",74.7626647547856,NA,NA
"unificado analisis","living_trees","taxonomica",0,1199,"Extrapolation",74.9890404543796,NA,NA
"unificado analisis","living_trees","taxonomica",0,1233,"Extrapolation",75.2067121301629,NA,NA
"unificado analisis","living_trees","taxonomica",0,1267,"Extrapolation",75.4160144471662,NA,NA
"unificado analisis","living_trees","taxonomica",0,1302,"Extrapolation",75.6230698317143,NA,NA
"unificado analisis","living_trees","taxonomica",1,1,"Rarefaction",6.41628264208909,5,9
"unificado analisis","living_trees","taxonomica",1,35,"Rarefaction",32.0424314263969,26.8057549918101,36.5596697554699
"unificado analisis","living_trees","taxonomica",1,69,"Rarefaction",34.0336069794387,30.4410150684775,37.7603211241122
"unificado analisis","living_trees","taxonomica",1,103,"Rarefaction",34.8038158765005,31.9766115854322,37.8283720163262
"unificado analisis","living_trees","taxonomica",1,137,"Rarefaction",35.2162272219943,32.9701614476572,37.817907721373
"unificado analisis","living_trees","taxonomica",1,172,"Rarefaction",35.479427134787,33.1847410335503,37.8168471865023
"unificado analisis","living_trees","taxonomica",1,206,"Rarefaction",35.6532913124319,33.3041619812543,37.5632232771867
"unificado analisis","living_trees","taxonomica",1,240,"Rarefaction",35.7799021336792,33.9161415894235,37.2234747737824
"unificado analisis","living_trees","taxonomica",1,274,"Rarefaction",35.8763556860092,34.4551093454408,37.5607817011642
"unificado analisis","living_trees","taxonomica",1,308,"Rarefaction",35.9524089127216,34.5223567094698,37.4231210691225
"unificado analisis","living_trees","taxonomica",1,343,"Rarefaction",36.0156583073117,34.5853360278814,37.0906844876471
"unificado analisis","living_trees","taxonomica",1,377,"Rarefaction",36.0664014411972,34.8295735389486,37.2131963222362
"unificado analisis","living_trees","taxonomica",1,411,"Rarefaction",36.1091862874222,35.0465656141178,37.1774786954925
"unificado analisis","living_trees","taxonomica",1,445,"Rarefaction",36.1457933578597,35.2250998676616,36.9998906500448
"unificado analisis","living_trees","taxonomica",1,479,"Rarefaction",36.1775028697947,35.4257428468723,36.9137315158789
"unificado analisis","living_trees","taxonomica",1,514,"Rarefaction",36.2060239755132,35.4509697775433,36.8136594870462
"unificado analisis","living_trees","taxonomica",1,548,"Rarefaction",36.230455094775,35.5632787381839,36.7948151436756
"unificado analisis","living_trees","taxonomica",1,582,"Rarefaction",36.2522102546068,35.7949353628418,36.6385641588053
"unificado analisis","living_trees","taxonomica",1,616,"Rarefaction",36.2717167869085,35.9150493233358,36.5637544207587
"unificado analisis","living_trees","taxonomica",1,651,"Observed",36.2898063706741,36.2898063706741,36.2898063706741
"unificado analisis","living_trees","taxonomica",1,652,"Extrapolation",36.2902972937914,NA,NA
"unificado analisis","living_trees","taxonomica",1,686,"Extrapolation",36.30656967374,NA,NA
"unificado analisis","living_trees","taxonomica",1,720,"Extrapolation",36.3220547364415,NA,NA
"unificado analisis","living_trees","taxonomica",1,754,"Extrapolation",36.3367905751835,NA,NA
"unificado analisis","living_trees","taxonomica",1,788,"Extrapolation",36.3508134401608,NA,NA
"unificado analisis","living_trees","taxonomica",1,823,"Extrapolation",36.3645403787643,NA,NA
"unificado analisis","living_trees","taxonomica",1,857,"Extrapolation",36.3772206067683,NA,NA
"unificado analisis","living_trees","taxonomica",1,891,"Extrapolation",36.3892873189722,NA,NA
"unificado analisis","living_trees","taxonomica",1,925,"Extrapolation",36.4007701995138,NA,NA
"unificado analisis","living_trees","taxonomica",1,959,"Extrapolation",36.411697496304,NA,NA
"unificado analisis","living_trees","taxonomica",1,994,"Extrapolation",36.4223941929052,NA,NA
"unificado analisis","living_trees","taxonomica",1,1028,"Extrapolation",36.4322752418201,NA,NA
"unificado analisis","living_trees","taxonomica",1,1062,"Extrapolation",36.4416782094553,NA,NA
"unificado analisis","living_trees","taxonomica",1,1096,"Extrapolation",36.4506262271313,NA,NA
"unificado analisis","living_trees","taxonomica",1,1130,"Extrapolation",36.4591413069908,NA,NA
"unificado analisis","living_trees","taxonomica",1,1165,"Extrapolation",36.4674766919942,NA,NA
"unificado analisis","living_trees","taxonomica",1,1199,"Extrapolation",36.4751764847446,NA,NA
"unificado analisis","living_trees","taxonomica",1,1233,"Extrapolation",36.4825037333649,NA,NA
"unificado analisis","living_trees","taxonomica",1,1267,"Extrapolation",36.4894764629025,NA,NA
"unificado analisis","living_trees","taxonomica",1,1302,"Extrapolation",36.4963020460068,NA,NA
"unificado analisis","living_trees","taxonomica",2,1,"Rarefaction",6.41628264208909,5,9
"unificado analisis","living_trees","taxonomica",2,35,"Rarefaction",25.7351728222158,21.2390263254664,30.6626931759472
"unificado analisis","living_trees","taxonomica",2,69,"Rarefaction",26.9094041916506,23.9129659201914,30.3590531762612
"unificado analisis","living_trees","taxonomica",2,103,"Rarefaction",27.3331913084511,24.7827673934946,29.9702966775953
"unificado analisis","living_trees","taxonomica",2,137,"Rarefaction",27.5517263108656,25.6637231558746,29.6676923492772
"unificado analisis","living_trees","taxonomica",2,172,"Rarefaction",27.6881919041264,25.8254047949199,29.4340633602227
"unificado analisis","living_trees","taxonomica",2,206,"Rarefaction",27.7770762133902,25.9013464090078,29.4627404967551
"unificado analisis","living_trees","taxonomica",2,240,"Rarefaction",27.8411284862753,26.269464157886,29.2071275937559
"unificado analisis","living_trees","taxonomica",2,274,"Rarefaction",27.8894794439652,26.6471510557328,29.3490959495614
"unificado analisis","living_trees","taxonomica",2,308,"Rarefaction",27.9272720889202,26.6519746524144,29.142799743302
"unificado analisis","living_trees","taxonomica",2,343,"Rarefaction",27.9584269042482,26.4903278543889,29.0269855787604
"unificado analisis","living_trees","taxonomica",2,377,"Rarefaction",27.9832019411821,27.0622354450375,29.0807586268124
"unificado analisis","living_trees","taxonomica",2,411,"Rarefaction",28.0039115823769,27.2175853181784,28.9530564824745
"unificado analisis","living_trees","taxonomica",2,445,"Rarefaction",28.0214806043532,27.1713285107105,28.8636912685359
"unificado analisis","living_trees","taxonomica",2,479,"Rarefaction",28.0365730675399,27.4185664121678,28.7432549441271
"unificado analisis","living_trees","taxonomica",2,514,"Rarefaction",28.050037514256,27.4444992390146,28.621729519584
"unificado analisis","living_trees","taxonomica",2,548,"Rarefaction",28.0614805167305,27.6110426536505,28.5744415630384
"unificado analisis","living_trees","taxonomica",2,582,"Rarefaction",28.0715943026926,27.6711970597692,28.4748933684185
"unificado analisis","living_trees","taxonomica",2,616,"Rarefaction",28.0805977613087,27.7775550675109,28.3195279138172
"unificado analisis","living_trees","taxonomica",2,651,"Observed",28.0888887815606,28.0888887815606,28.0888887815606
"unificado analisis","living_trees","taxonomica",2,652,"Extrapolation",28.0891126561072,NA,NA
"unificado analisis","living_trees","taxonomica",2,686,"Extrapolation",28.0963379525277,NA,NA
"unificado analisis","living_trees","taxonomica",2,720,"Extrapolation",28.1028840676707,NA,NA
"unificado analisis","living_trees","taxonomica",2,754,"Extrapolation",28.1088424676489,NA,NA
"unificado analisis","living_trees","taxonomica",2,788,"Extrapolation",28.1142889003773,NA,NA
"unificado analisis","living_trees","taxonomica",2,823,"Extrapolation",28.1194273995748,NA,NA
"unificado analisis","living_trees","taxonomica",2,857,"Extrapolation",28.1240187753363,NA,NA
"unificado analisis","living_trees","taxonomica",2,891,"Extrapolation",28.1282610753647,NA,NA
"unificado analisis","living_trees","taxonomica",2,925,"Extrapolation",28.1321926513414,NA,NA
"unificado analisis","living_trees","taxonomica",2,959,"Extrapolation",28.1358464353456,NA,NA
"unificado analisis","living_trees","taxonomica",2,994,"Extrapolation",28.1393474810913,NA,NA
"unificado analisis","living_trees","taxonomica",2,1028,"Extrapolation",28.1425209713099,NA,NA
"unificado analisis","living_trees","taxonomica",2,1062,"Extrapolation",28.1454919111161,NA,NA
"unificado analisis","living_trees","taxonomica",2,1096,"Extrapolation",28.1482790926968,NA,NA
"unificado analisis","living_trees","taxonomica",2,1130,"Extrapolation",28.1508990533105,NA,NA
"unificado analisis","living_trees","taxonomica",2,1165,"Extrapolation",28.1534367989408,NA,NA
"unificado analisis","living_trees","taxonomica",2,1199,"Extrapolation",28.1557605693423,NA,NA
"unificado analisis","living_trees","taxonomica",2,1233,"Extrapolation",28.1579565361946,NA,NA
"unificado analisis","living_trees","taxonomica",2,1267,"Extrapolation",28.1600349607979,NA,NA
"unificado analisis","living_trees","taxonomica",2,1302,"Extrapolation",28.1620614243714,NA,NA
"unificado analisis","pooled","taxonomica",0,1,"Rarefaction",6.64018161180476,5,10.025
"unificado analisis","pooled","taxonomica",0,47,"Rarefaction",71.3777590969922,58.925,83.025
"unificado analisis","pooled","taxonomica",0,93,"Rarefaction",88.5062173927671,79,100
"unificado analisis","pooled","taxonomica",0,139,"Rarefaction",99.2574286854877,86.975,109
"unificado analisis","pooled","taxonomica",0,186,"Rarefaction",107.283343497667,96,117
"unificado analisis","pooled","taxonomica",0,232,"Rarefaction",113.443573201566,106,123
"unificado analisis","pooled","taxonomica",0,278,"Rarefaction",118.494697523762,110,126
"unificado analisis","pooled","taxonomica",0,325,"Rarefaction",122.845524168834,113,130
"unificado analisis","pooled","taxonomica",0,371,"Rarefaction",126.520467907784,117,134
"unificado analisis","pooled","taxonomica",0,417,"Rarefaction",129.75881771544,122,137
"unificado analisis","pooled","taxonomica",0,464,"Rarefaction",132.718199157792,125.975,139
"unificado analisis","pooled","taxonomica",0,510,"Rarefaction",135.344022714408,127,142
"unificado analisis","pooled","taxonomica",0,556,"Rarefaction",137.753728846989,130,144.025
"unificado analisis","pooled","taxonomica",0,603,"Rarefaction",140.032154040465,134,145
"unificado analisis","pooled","taxonomica",0,649,"Rarefaction",142.111715905139,136,147.025
"unificado analisis","pooled","taxonomica",0,695,"Rarefaction",144.065073272358,138.975,148
"unificado analisis","pooled","taxonomica",0,742,"Rarefaction",145.949119235209,141,150
"unificado analisis","pooled","taxonomica",0,788,"Rarefaction",147.698632450485,144,150.025
"unificado analisis","pooled","taxonomica",0,834,"Rarefaction",149.367269360911,147,151
"unificado analisis","pooled","taxonomica",0,881,"Observed",151,151,151
"unificado analisis","pooled","taxonomica",0,882,"Extrapolation",151.034023860177,NA,NA
"unificado analisis","pooled","taxonomica",0,928,"Extrapolation",152.568876128052,NA,NA
"unificado analisis","pooled","taxonomica",0,974,"Extrapolation",154.046029390192,NA,NA
"unificado analisis","pooled","taxonomica",0,1020,"Extrapolation",155.46765269917,NA,NA
"unificado analisis","pooled","taxonomica",0,1067,"Extrapolation",156.864998282176,NA,NA
"unificado analisis","pooled","taxonomica",0,1113,"Extrapolation",158.18064937111,NA,NA
"unificado analisis","pooled","taxonomica",0,1159,"Extrapolation",159.44684178489,NA,NA
"unificado analisis","pooled","taxonomica",0,1206,"Extrapolation",160.691410838772,NA,NA
"unificado analisis","pooled","taxonomica",0,1252,"Extrapolation",161.863217334535,NA,NA
"unificado analisis","pooled","taxonomica",0,1298,"Extrapolation",162.990972639747,NA,NA
"unificado analisis","pooled","taxonomica",0,1345,"Extrapolation",164.099468740295,NA,NA
"unificado analisis","pooled","taxonomica",0,1391,"Extrapolation",165.143157659844,NA,NA
"unificado analisis","pooled","taxonomica",0,1437,"Extrapolation",166.147611654823,NA,NA
"unificado analisis","pooled","taxonomica",0,1484,"Extrapolation",167.134912119267,NA,NA
"unificado analisis","pooled","taxonomica",0,1530,"Extrapolation",168.064490991485,NA,NA
"unificado analisis","pooled","taxonomica",0,1576,"Extrapolation",168.95912462643,NA,NA
"unificado analisis","pooled","taxonomica",0,1623,"Extrapolation",169.838480184477,NA,NA
"unificado analisis","pooled","taxonomica",0,1669,"Extrapolation",170.666425047634,NA,NA
"unificado analisis","pooled","taxonomica",0,1715,"Extrapolation",171.463245354762,NA,NA
"unificado analisis","pooled","taxonomica",0,1762,"Extrapolation",172.246457988926,NA,NA
"unificado analisis","pooled","taxonomica",1,1,"Rarefaction",6.64018161180476,5,10.025
"unificado analisis","pooled","taxonomica",1,47,"Rarefaction",48.0874099045605,38.919274497592,58.0154535540853
"unificado analisis","pooled","taxonomica",1,93,"Rarefaction",52.1653421468509,46.1581422947431,59.2235773916835
"unificado analisis","pooled","taxonomica",1,139,"Rarefaction",53.8612544087919,48.0428729927419,59.1733937532495
"unificado analisis","pooled","taxonomica",1,186,"Rarefaction",54.8289826978331,49.1733038242703,59.7791528224842
"unificado analisis","pooled","taxonomica",1,232,"Rarefaction",55.4390853637457,51.6180789776572,60.1968133572721
"unificado analisis","pooled","taxonomica",1,278,"Rarefaction",55.8688023444186,52.735092011752,59.4877432058558
"unificado analisis","pooled","taxonomica",1,325,"Rarefaction",56.1949187912503,53.2108877000571,59.2717685588183
