"dataset","source","metric","q","n","method","value","lo","hi"
"unificado analisis","parcelas_cl","taxonomica",0,424,"Extrapolation",235.627932268049,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,436,"Extrapolation",236.720281692613,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,449,"Extrapolation",237.845689664781,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,462,"Extrapolation",238.913800042374,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,475,"Extrapolation",239.927530002476,NA,NA
"unificado analisis","parcelas_cl","taxonomica",0,488,"Extrapolation",240.889648200711,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,1,"Rarefaction",12.2786885245902,5,36
"unificado analisis","parcelas_cl","taxonomica",1,13,"Rarefaction",64.5439912269479,35.7561712656185,84.1483320551431
"unificado analisis","parcelas_cl","taxonomica",1,26,"Rarefaction",79.0897740959127,60.5609411891336,95.2351867122333
"unificado analisis","parcelas_cl","taxonomica",1,39,"Rarefaction",85.842404095085,67.4408590239789,97.4647141571063
"unificado analisis","parcelas_cl","taxonomica",1,52,"Rarefaction",89.8446589737184,76.7683042247858,103.622395974402
"unificado analisis","parcelas_cl","taxonomica",1,64,"Rarefaction",92.3521033169821,81.0267198821183,103.149500174847
"unificado analisis","parcelas_cl","taxonomica",1,77,"Rarefaction",94.3338379426634,85.2720927308257,103.583354923373
"unificado analisis","parcelas_cl","taxonomica",1,90,"Rarefaction",95.8328901983976,86.0302410721203,102.408723490791
"unificado analisis","parcelas_cl","taxonomica",1,103,"Rarefaction",97.009492342512,88.2862345523671,104.708422260055
"unificado analisis","parcelas_cl","taxonomica",1,116,"Rarefaction",97.959255389294,90.1456068988906,104.788655885662
"unificado analisis","parcelas_cl","taxonomica",1,128,"Rarefaction",98.6876461483553,91.6219133516582,104.290546936337
"unificado analisis","parcelas_cl","taxonomica",1,141,"Rarefaction",99.3547435476725,93.6761128153342,103.745245509254
"unificado analisis","parcelas_cl","taxonomica",1,154,"Rarefaction",99.9231185745495,94.0703648286397,104.508437829581
"unificado analisis","parcelas_cl","taxonomica",1,167,"Rarefaction",100.413624757949,96.1052272793418,104.604130310333
"unificado analisis","parcelas_cl","taxonomica",1,180,"Rarefaction",100.841598975622,96.5640289730441,103.99892538551
"unificado analisis","parcelas_cl","taxonomica",1,192,"Rarefaction",101.191171770094,97.804256995037,104.617377801346
"unificado analisis","parcelas_cl","taxonomica",1,205,"Rarefaction",101.52896324655,98.8888134838198,104.038869243123
"unificado analisis","parcelas_cl","taxonomica",1,218,"Rarefaction",101.831007752585,99.9164349604313,103.768018974793
"unificado analisis","parcelas_cl","taxonomica",1,231,"Rarefaction",102.102847186397,100.213974764533,103.608028086553
"unificado analisis","parcelas_cl","taxonomica",1,244,"Observed",102.348916645124,102.348916645124,102.348916645124
"unificado analisis","parcelas_cl","taxonomica",1,245,"Extrapolation",102.366946469033,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,257,"Extrapolation",102.57795422454,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,270,"Extrapolation",102.795765709206,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,283,"Extrapolation",103.002901337223,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,296,"Extrapolation",103.199884377214,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,308,"Extrapolation",103.373134463314,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,321,"Extrapolation",103.551970821157,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,334,"Extrapolation",103.722041657189,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,347,"Extrapolation",103.883776606488,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,360,"Extrapolation",104.03758424591,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,372,"Extrapolation",104.172860799535,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,385,"Extrapolation",104.312499207207,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,398,"Extrapolation",104.445293349413,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,411,"Extrapolation",104.571578692378,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,424,"Extrapolation",104.691674259721,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,436,"Extrapolation",104.79730044654,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,449,"Extrapolation",104.906332441668,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,462,"Extrapolation",105.010020320293,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,475,"Extrapolation",105.108626020033,NA,NA
"unificado analisis","parcelas_cl","taxonomica",1,488,"Extrapolation",105.202398639842,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,1,"Rarefaction",12.2786885245902,5,36
"unificado analisis","parcelas_cl","taxonomica",2,13,"Rarefaction",52.4736243966703,25.5918432671082,74.0868916437098
"unificado analisis","parcelas_cl","taxonomica",2,26,"Rarefaction",60.7613536798469,41.2623035191813,77.6384683560236
"unificado analisis","parcelas_cl","taxonomica",2,39,"Rarefaction",64.1380252699841,43.468357817176,76.9596887948909
"unificado analisis","parcelas_cl","taxonomica",2,52,"Rarefaction",65.9711214578162,51.5974014037433,79.3445970406394
"unificado analisis","parcelas_cl","taxonomica",2,64,"Rarefaction",67.0490370183884,52.9001639156791,77.5961383915892
"unificado analisis","parcelas_cl","taxonomica",2,77,"Rarefaction",67.8602238410158,57.2982125322176,76.6266666517231
"unificado analisis","parcelas_cl","taxonomica",2,90,"Rarefaction",68.449113098834,57.3088450546997,75.8782883923936
"unificado analisis","parcelas_cl","taxonomica",2,103,"Rarefaction",68.8960706701361,58.6659378935893,76.6313471810817
"unificado analisis","parcelas_cl","taxonomica",2,116,"Rarefaction",69.2468897986331,60.490002797179,76.3366229007749
"unificado analisis","parcelas_cl","taxonomica",2,128,"Rarefaction",69.5097954799596,60.9127272214416,75.6452903666737
"unificado analisis","parcelas_cl","taxonomica",2,141,"Rarefaction",69.7457991392104,62.9077374420267,74.5752266406091
"unificado analisis","parcelas_cl","taxonomica",2,154,"Rarefaction",69.9431810528938,64.1016846989945,75.60661891162
"unificado analisis","parcelas_cl","taxonomica",2,167,"Rarefaction",70.1107047599578,64.9517500600561,74.2701896156176
"unificado analisis","parcelas_cl","taxonomica",2,180,"Rarefaction",70.2546688914062,65.5417417738391,73.9619509012914
"unificado analisis","parcelas_cl","taxonomica",2,192,"Rarefaction",70.3706840873385,66.2370481058009,74.1179912630759
"unificado analisis","parcelas_cl","taxonomica",2,205,"Rarefaction",70.4813961482215,67.2626693928836,73.1322975588325
"unificado analisis","parcelas_cl","taxonomica",2,218,"Rarefaction",70.5791929348836,68.1051356846521,72.9798151758098
"unificado analisis","parcelas_cl","taxonomica",2,231,"Rarefaction",70.6662098668636,68.6673684768682,72.1291417207662
"unificado analisis","parcelas_cl","taxonomica",2,244,"Observed",70.7441361916771,70.7441361916772,70.7441361916772
"unificado analisis","parcelas_cl","taxonomica",2,245,"Extrapolation",70.7497946760729,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,257,"Extrapolation",70.8143257284755,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,270,"Extrapolation",70.8778761866766,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,283,"Extrapolation",70.9356869932687,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,296,"Extrapolation",70.988502128824,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,308,"Extrapolation",71.0333590626979,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,321,"Extrapolation",71.0782260529509,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,334,"Extrapolation",71.1196506649666,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,347,"Extrapolation",71.1580144322613,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,360,"Extrapolation",71.193644514522,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,372,"Extrapolation",71.2243521191265,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,385,"Extrapolation",71.2554855437881,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,398,"Extrapolation",71.2846097456302,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,411,"Extrapolation",71.3119131451429,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,424,"Extrapolation",71.3375613174025,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,436,"Extrapolation",71.3598940443965,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,449,"Extrapolation",71.3827552130016,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,462,"Extrapolation",71.4043432608982,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,475,"Extrapolation",71.4247616557241,NA,NA
"unificado analisis","parcelas_cl","taxonomica",2,488,"Extrapolation",71.4441029489644,NA,NA
"unificado analisis","living_trees","taxonomica",0,1,"Rarefaction",6.41628264208909,5,9
"unificado analisis","living_trees","taxonomica",0,35,"Rarefaction",44.5245693409661,36.975,51
"unificado analisis","living_trees","taxonomica",0,69,"Rarefaction",51.5446035324734,46,56
"unificado analisis","living_trees","taxonomica",0,103,"Rarefaction",55.5108824716461,50,60.025
"unificado analisis","living_trees","taxonomica",0,137,"Rarefaction",58.1513676852555,53,62
"unificado analisis","living_trees","taxonomica",0,172,"Rarefaction",60.0955378411988,55.975,64
"unificado analisis","living_trees","taxonomica",0,206,"Rarefaction",61.5281407331609,57,65
"unificado analisis","living_trees","taxonomica",0,240,"Rarefaction",62.6755289084808,59,66
"unificado analisis","living_trees","taxonomica",0,274,"Rarefaction",63.6344920004611,60,68
"unificado analisis","living_trees","taxonomica",0,308,"Rarefaction",64.4647498279529,61,67.025
"unificado analisis","living_trees","taxonomica",0,343,"Rarefaction",65.2244919465802,62,68
"unificado analisis","living_trees","taxonomica",0,377,"Rarefaction",65.8947086576636,63,69
"unificado analisis","living_trees","taxonomica",0,411,"Rarefaction",66.5136118273715,63,69
"unificado analisis","living_trees","taxonomica",0,445,"Rarefaction",67.0913324354316,64,69
"unificado analisis","living_trees","taxonomica",0,479,"Rarefaction",67.6347834779922,65,70
"unificado analisis","living_trees","taxonomica",0,514,"Rarefaction",68.1636025922629,66,70
"unificado analisis","living_trees","taxonomica",0,548,"Rarefaction",68.6513346952942,66,70
"unificado analisis","living_trees","taxonomica",0,582,"Rarefaction",69.1163896927781,67,70
"unificado analisis","living_trees","taxonomica",0,616,"Rarefaction",69.5611623401556,67.975,70
"unificado analisis","living_trees","taxonomica",0,651,"Observed",70,70,70
"unificado analisis","living_trees","taxonomica",0,652,"Extrapolation",70.0122746234553,NA,NA
"unificado analisis","living_trees","taxonomica",0,686,"Extrapolation",70.4213002668728,NA,NA
"unificado analisis","living_trees","taxonomica",0,720,"Extrapolation",70.8145990944443,NA,NA
"unificado analisis","living_trees","taxonomica",0,754,"Extrapolation",71.1927757937746,NA,NA
"unificado analisis","living_trees","taxonomica",0,788,"Extrapolation",71.5564118025556,NA,NA
"unificado analisis","living_trees","taxonomica",0,823,"Extrapolation",71.9161440535488,NA,NA
"unificado analisis","living_trees","taxonomica",0,857,"Extrapolation",72.2519669420683,NA,NA
"unificado analisis","living_trees","taxonomica",0,891,"Extrapolation",72.5748776212688,NA,NA
"unificado analisis","living_trees","taxonomica",0,925,"Extrapolation",72.8853725586491,NA,NA
"unificado analisis","living_trees","taxonomica",0,959,"Extrapolation",73.1839291327998,NA,NA
"unificado analisis","living_trees","taxonomica",0,994,"Extrapolation",73.4792805993064,NA,NA
"unificado analisis","living_trees","taxonomica",0,1028,"Extrapolation",73.7550017289435,NA,NA
"unificado analisis","living_trees","taxonomica",0,1062,"Extrapolation",74.0201215295429,NA,NA
"unificado analisis","living_trees","taxonomica",0,1096,"Extrapolation",74.2750476165004,NA,NA
"unificado analisis","living_trees","taxonomica",0,1130,"Extrapolation",74.5201719326192,NA,NA
"unificado analisis","living_trees","taxonomica",0,1165,"Extrapolation",74.7626647547856,NA,NA
"unificado analisis","living_trees","taxonomica",0,1199,"Extrapolation",74.9890404543796,NA,NA
"unificado analisis","living_trees","taxonomica",0,1233,"Extrapolation",75.2067121301629,NA,NA
"unificado analisis","living_trees","taxonomica",0,1267,"Extrapolation",75.4160144471662,NA,NA
"unificado analisis","living_trees","taxonomica",0,1302,"Extrapolation",75.6230698317143,NA,NA
"unificado analisis","living_trees","taxonomica",1,1,"Rarefaction",6.41628264208909,5,9
"unificado analisis","living_trees","taxonomica",1,35,"Rarefaction",32.0424314263969,26.8057549918101,36.5596697554699
"unificado analisis","living_trees","taxonomica",1,69,"Rarefaction",34.0336069794387,30.4410150684775,37.7603211241122
"unificado analisis","living_trees","taxonomica",1,103,"Rarefaction",34.8038158765005,31.9766115854322,37.8283720163262
"unificado analisis","living_trees","taxonomica",1,137,"Rarefaction",35.2162272219943,32.9701614476572,37.817907721373
"unificado analisis","living_trees","taxonomica",1,172,"Rarefaction",35.479427134787,33.1847410335503,37.8168471865023
"unificado analisis","living_trees","taxonomica",1,206,"Rarefaction",35.6532913124319,33.3041619812543,37.5632232771867
"unificado analisis","living_trees","taxonomica",1,240,"Rarefaction",35.7799021336792,33.9161415894235,37.2234747737824
"unificado analisis","living_trees","taxonomica",1,274,"Rarefaction",35.8763556860092,34.4551093454408,37.5607817011642
"unificado analisis","living_trees","taxonomica",1,308,"Rarefaction",35.9524089127216,34.5223567094698,37.4231210691225
"unificado analisis","living_trees","taxonomica",1,343,"Rarefaction",36.0156583073117,34.5853360278814,37.0906844876471
"unificado analisis","living_trees","taxonomica",1,377,"Rarefaction",36.0664014411972,34.8295735389486,37.2131963222362
"unificado analisis","living_trees","taxonomica",1,411,"Rarefaction",36.1091862874222,35.0465656141178,37.1774786954925
"unificado analisis","living_trees","taxonomica",1,445,"Rarefaction",36.1457933578597,35.2250998676616,36.9998906500448
"unificado analisis","living_trees","taxonomica",1,479,"Rarefaction",36.1775028697947,35.4257428468723,36.9137315158789
"unificado analisis","living_trees","taxonomica",1,514,"Rarefaction",36.2060239755132,35.4509697775433,36.8136594870462
"unificado analisis","living_trees","taxonomica",1,548,"Rarefaction",36.230455094775,35.5632787381839,36.7948151436756
"unificado analisis","living_trees","taxonomica",1,582,"Rarefaction",36.2522102546068,35.7949353628418,36.6385641588053
"unificado analisis","living_trees","taxonomica",1,616,"Rarefaction",36.2717167869085,35.9150493233358,36.5637544207587
"unificado analisis","living_trees","taxonomica",1,651,"Observed",36.2898063706741,36.2898063706741,36.2898063706741
"unificado analisis","living_trees","taxonomica",1,652,"Extrapolation",36.2902972937914,NA,NA
"unificado analisis","living_trees","taxonomica",1,686,"Extrapolation",36.30656967374,NA,NA
"unificado analisis","living_trees","taxonomica",1,720,"Extrapolation",36.3220547364415,NA,NA
"unificado analisis","living_trees","taxonomica",1,754,"Extrapolation",36.3367905751835,NA,NA
"unificado analisis","living_trees","taxonomica",1,788,"Extrapolation",36.3508134401608,NA,NA
"unificado analisis","living_trees","taxonomica",1,823,"Extrapolation",36.3645403787643,NA,NA
"unificado analisis","living_trees","taxonomica",1,857,"Extrapolation",36.3772206067683,NA,NA
"unificado analisis","living_trees","taxonomica",1,891,"Extrapolation",36.3892873189722,NA,NA
"unificado analisis","living_trees","taxonomica",1,925,"Extrapolation",36.4007701995138,NA,NA
"unificado analisis","living_trees","taxonomica",1,959,"Extrapolation",36.411697496304,NA,NA
"unificado analisis","living_trees","taxonomica",1,994,"Extrapolation",36.4223941929052,NA,NA
"unificado analisis","living_trees","taxonomica",1,1028,"Extrapolation",36.4322752418201,NA,NA
"unificado analisis","living_trees","taxonomica",1,1062,"Extrapolation",36.4416782094553,NA,NA
"unificado analisis","living_trees","taxonomica",1,1096,"Extrapolation",36.4506262271313,NA,NA
"unificado analisis","living_trees","taxonomica",1,1130,"Extrapolation",36.4591413069908,NA,NA
"unificado analisis","living_trees","taxonomica",1,1165,"Extrapolation",36.4674766919942,NA,NA
"unificado analisis","living_trees","taxonomica",1,1199,"Extrapolation",36.4751764847446,NA,NA
"unificado analisis","living_trees","taxonomica",1,1233,"Extrapolation",36.4825037333649,NA,NA
"unificado analisis","living_trees","taxonomica",1,1267,"Extrapolation",36.4894764629025,NA,NA
"unificado analisis","living_trees","taxonomica",1,1302,"Extrapolation",36.4963020460068,NA,NA
"unificado analisis","living_trees","taxonomica",2,1,"Rarefaction",6.41628264208909,5,9
"unificado analisis","living_trees","taxonomica",2,35,"Rarefaction",25.7351728222158,21.2390263254664,30.6626931759472
"unificado analisis","living_trees","taxonomica",2,69,"Rarefaction",26.9094041916506,23.9129659201914,30.3590531762612
"unificado analisis","living_trees","taxonomica",2,103,"Rarefaction",27.3331913084511,24.7827673934946,29.9702966775953
"unificado analisis","living_trees","taxonomica",2,137,"Rarefaction",27.5517263108656,25.6637231558746,29.6676923492772
"unificado analisis","living_trees","taxonomica",2,172,"Rarefaction",27.6881919041264,25.8254047949199,29.4340633602227
"unificado analisis","living_trees","taxonomica",2,206,"Rarefaction",27.7770762133902,25.9013464090078,29.4627404967551
"unificado analisis","living_trees","taxonomica",2,240,"Rarefaction",27.8411284862753,26.269464157886,29.2071275937559
"unificado analisis","living_trees","taxonomica",2,274,"Rarefaction",27.8894794439652,26.6471510557328,29.3490959495614
"unificado analisis","living_trees","taxonomica",2,308,"Rarefaction",27.9272720889202,26.6519746524144,29.142799743302
"unificado analisis","living_trees","taxonomica",2,343,"Rarefaction",27.9584269042482,26.4903278543889,29.0269855787604
"unificado analisis","living_trees","taxonomica",2,377,"Rarefaction",27.9832019411821,27.0622354450375,29.0807586268124
"unificado analisis","living_trees","taxonomica",2,411,"Rarefaction",28.0039115823769,27.2175853181784,28.9530564824745
"unificado analisis","living_trees","taxonomica",2,445,"Rarefaction",28.0214806043532,27.1713285107105,28.8636912685359
"unificado analisis","living_trees","taxonomica",2,479,"Rarefaction",28.0365730675399,27.4185664121678,28.7432549441271
"unificado analisis","living_trees","taxonomica",2,514,"Rarefaction",28.050037514256,27.4444992390146,28.621729519584
"unificado analisis","living_trees","taxonomica",2,548,"Rarefaction",28.0614805167305,27.6110426536505,28.5744415630384
"unificado analisis","living_trees","taxonomica",2,582,"Rarefaction",28.0715943026926,27.6711970597692,28.4748933684185
"unificado analisis","living_trees","taxonomica",2,616,"Rarefaction",28.0805977613087,27.7775550675109,28.3195279138172
"unificado analisis","living_trees","taxonomica",2,651,"Observed",28.0888887815606,28.0888887815606,28.0888887815606
"unificado analisis","living_trees","taxonomica",2,652,"Extrapolation",28.0891126561072,NA,NA
"unificado analisis","living_trees","taxonomica",2,686,"Extrapolation",28.0963379525277,NA,NA
"unificado analisis","living_trees","taxonomica",2,720,"Extrapolation",28.1028840676707,NA,NA
"unificado analisis","living_trees","taxonomica",2,754,"Extrapolation",28.1088424676489,NA,NA
"unificado analisis","living_trees","taxonomica",2,788,"Extrapolation",28.1142889003773,NA,NA
"unificado analisis","living_trees","taxonomica",2,823,"Extrapolation",28.1194273995748,NA,NA
"unificado analisis","living_trees","taxonomica",2,857,"Extrapolation",28.1240187753363,NA,NA
"unificado analisis","living_trees","taxonomica",2,891,"Extrapolation",28.1282610753647,NA,NA
"unificado analisis","living_trees","taxonomica",2,925,"Extrapolation",28.1321926513414,NA,NA
"unificado analisis","living_trees","taxonomica",2,959,"Extrapolation",28.1358464353456,NA,NA
"unificado analisis","living_trees","taxonomica",2,994,"Extrapolation",28.1393474810913,NA,NA
"unificado analisis","living_trees","taxonomica",2,1028,"Extrapolation",28.1425209713099,NA,NA
"unificado analisis","living_trees","taxonomica",2,1062,"Extrapolation",28.1454919111161,NA,NA
"unificado analisis","living_trees","taxonomica",2,1096,"Extrapolation",28.1482790926968,NA,NA
"unificado analisis","living_trees","taxonomica",2,1130,"Extrapolation",28.1508990533105,NA,NA
"unificado analisis","living_trees","taxonomica",2,1165,"Extrapolation",28.1534367989408,NA,NA
"unificado analisis","living_trees","taxonomica",2,1199,"Extrapolation",28.1557605693423,NA,NA
"unificado analisis","living_trees","taxonomica",2,1233,"Extrapolation",28.1579565361946,NA,NA
"unificado analisis","living_trees","taxonomica",2,1267,"Extrapolation",28.1600349607979,NA,NA
"unificado analisis","living_trees","taxonomica",2,1302,"Extrapolation",28.1620614243714,NA,NA
"unificado analisis","pooled","taxonomica",0,1,"Rarefaction",8.0145251396648,5,27.15
"unificado analisis","pooled","taxonomica",0,48,"Rarefaction",108.76007250078,67.9,133.025
"unificado analisis","pooled","taxonomica",0,95,"Rarefaction",139.190024267871,117.975,160.025
"unificado analisis","pooled","taxonomica",0,142,"Rarefaction",157.913931787997,137.95,177
"unificado analisis","pooled","taxonomica",0,189,"Rarefaction",171.627520561032,152.975,188.025
"unificado analisis","pooled","taxonomica",0,236,"Rarefaction",182.50211826999,163,199
"unificado analisis","pooled","taxonomica",0,283,"Rarefaction",191.50684288337,176.975,207.025
"unificado analisis","pooled","taxonomica",0,330,"Rarefaction",199.166563638314,186,213
"unificado analisis","pooled","taxonomica",0,377,"Rarefaction",205.806905662327,193.975,219
"unificado analisis","pooled","taxonomica",0,424,"Rarefaction",211.649054195742,199.95,221
"unificado analisis","pooled","taxonomica",0,471,"Rarefaction",216.852078062129,206,229
"unificado analisis","pooled","taxonomica",0,518,"Rarefaction",221.534562344758,209.975,231
"unificado analisis","pooled","taxonomica",0,565,"Rarefaction",225.787065058392,215.975,236
"unificado analisis","pooled","taxonomica",0,612,"Rarefaction",229.67998257505,219.975,239
"unificado analisis","pooled","taxonomica",0,659,"Rarefaction",233.268844225398,225,241.025
"unificado analisis","pooled","taxonomica",0,706,"Rarefaction",236.598026927166,226.975,243
"unificado analisis","pooled","taxonomica",0,753,"Rarefaction",239.70342893588,232,246
"unificado analisis","pooled","taxonomica",0,800,"Rarefaction",242.614424651772,237,247
"unificado analisis","pooled","taxonomica",0,847,"Rarefaction",245.355308284373,241,248
"unificado analisis","pooled","taxonomica",0,895,"Observed",248,248,248
"unificado analisis","pooled","taxonomica",0,896,"Extrapolation",248.053571361693,NA,NA
"unificado analisis","pooled","taxonomica",0,943,"Extrapolation",250.505049821339,NA,NA
"unificado analisis","pooled","taxonomica",0,990,"Extrapolation",252.831044973051,NA,NA
"unificado analisis","pooled","taxonomica",0,1037,"Extrapolation",255.037979904297,NA,NA
"unificado analisis","pooled","taxonomica",0,1084,"Extrapolation",257.131948925327,NA,NA
"unificado analisis","pooled","taxonomica",0,1131,"Extrapolation",259.118734398226,NA,NA
"unificado analisis","pooled","taxonomica",0,1178,"Extrapolation",261.003822704539,NA,NA
"unificado analisis","pooled","taxonomica",0,1225,"Extrapolation",262.792419395561,NA,NA
"unificado analisis","pooled","taxonomica",0,1272,"Extrapolation",264.489463567136,NA,NA
"unificado analisis","pooled","taxonomica",0,1319,"Extrapolation",266.099641498659,NA,NA
"unificado analisis","pooled","taxonomica",0,1366,"Extrapolation",267.627399593934,NA,NA
"unificado analisis","pooled","taxonomica",0,1413,"Extrapolation",269.076956659636,NA,NA
"unificado analisis","pooled","taxonomica",0,1460,"Extrapolation",270.452315555281,NA,NA
"unificado analisis","pooled","taxonomica",0,1507,"Extrapolation",271.75727424686,NA,NA
"unificado analisis","pooled","taxonomica",0,1554,"Extrapolation",272.995436294686,NA,NA
"unificado analisis","pooled","taxonomica",0,1601,"Extrapolation",274.170220804395,NA,NA
"unificado analisis","pooled","taxonomica",0,1648,"Extrapolation",275.284871868587,NA,NA
"unificado analisis","pooled","taxonomica",0,1695,"Extrapolation",276.342467525184,NA,NA
"unificado analisis","pooled","taxonomica",0,1742,"Extrapolation",277.345928257233,NA,NA
"unificado analisis","pooled","taxonomica",0,1790,"Extrapolation",278.317743877361,NA,NA
"unificado analisis","pooled","taxonomica",1,1,"Rarefaction",8.0145251396648,5,27.15
"unificado analisis","pooled","taxonomica",1,48,"Rarefaction",71.6578789954288,45.232749245453,96.8291879069204
"unificado analisis","pooled","taxonomica",1,95,"Rarefaction",79.8298592079149,61.2748726557417,100.573621426132
"unificado analisis","pooled","taxonomica",1,142,"Rarefaction",83.3164452279625,65.569726633231,98.3977534908305
"unificado analisis","pooled","taxonomica",1,189,"Rarefaction",85.296717177891,70.9478227966391,97.0877535501451
"unificado analisis","pooled","taxonomica",1,236,"Rarefaction",86.5890137454882,70.5065774829289,100.415573758315
"unificado analisis","pooled","taxonomica",1,283,"Rarefaction",87.5048998591194,78.2973300334492,98.7990123646998
"unificado analisis","pooled","taxonomica",1,330,"Rarefaction",88.19057993998,79.5018721832638,96.8596197799064
